package_name,dependency_pkg
frontend,starlette
frontend,uvicorn
frontend,aiofiles
frontend,itsdangerous
fps-frontend,fps>=0.0.8
amundsen-frontend,attrs
amundsen-frontend,werkzeug
amundsen-frontend,flatten-dict
amundsen-frontend,jira
amundsen-frontend,pyarrow
amundsen-frontend,flake8
amundsen-frontend,flake8-tidy-imports
amundsen-frontend,jsonschema
amundsen-frontend,marshmallow3-annotations
amundsen-frontend,pytest-env
amundsen-frontend,Flask-RESTful
amundsen-frontend,click
amundsen-frontend,Flask
amundsen-frontend,statsd
amundsen-frontend,retrying
amundsen-frontend,amundsen-common
amundsen-frontend,SQLAlchemy
amundsen-frontend,requests
amundsen-frontend,pytest
amundsen-frontend,responses
amundsen-frontend,boto3
amundsen-frontend,pytest-cov
amundsen-frontend,flask-cors
amundsen-frontend,pytest-mock
amundsen-frontend,typing
amundsen-frontend,isort[colors]
amundsen-frontend,typed-ast
amundsen-frontend,flasgger
amundsen-frontend,requests-aws4auth
amundsen-frontend,marshmallow
amundsen-frontend,asana
amundsen-frontend,mypy
amundsen-frontend,itsdangerous
amundsen-frontend,mock
amundsen-frontend,pyspark
amundsen-frontend,wheel
amundsen-frontend,flaskoidc
amundsen-frontend,dataclasses
amundsen-frontend,pytz
amundsen-frontend,Jinja2
amundsen-frontend,google-cloud-bigquery
frontend-assets,future
frontend-assets,requests
frontend-assets,django-bootstrap4
frontend-assets,subresource-integrity
frontend-assets,django
ramp-frontend,sphinx
ramp-frontend,Flask
ramp-frontend,pytest
ramp-frontend,bokeh
ramp-frontend,sphinx-rtd-theme
ramp-frontend,Flask-WTF
ramp-frontend,Flask-Mail
ramp-frontend,itsdangerous
ramp-frontend,click
ramp-frontend,pandas
ramp-frontend,numpydoc
ramp-frontend,Flask-SQLAlchemy
ramp-frontend,Flask-Login
ramp-frontend,pytest-cov
ramp-frontend,numpy
autoreduce-frontend,Django
autoreduce-frontend,django-extensions
autoreduce-frontend,django-user-agents
autoreduce-frontend,autoreduce-utils
autoreduce-frontend,autoreduce-qp
autoreduce-frontend,autoreduce-db
frontend-editables,pytest
frontend-editables,coverage[toml]
frontend-editables,typing-extensions
djangocms-frontend,Django
djangocms-frontend,django-select2
djangocms-frontend,djangocms-static-ace
djangocms-frontend,easy-thumbnails
djangocms-frontend,djangocms-text-ckeditor
djangocms-frontend,django-entangled
djangocms-frontend,django-filer
djangocms-frontend,djangocms-attributes-field
djangocms-frontend,django-cms
djangocms-frontend,djangocms-icon
hmlr-frontend-jinja,jinja2
espnet-tts-frontend,unidecode
espnet-tts-frontend,jaconv
espnet-tts-frontend,inflect
espnet-tts-frontend,g2p-en
espnet-tts-frontend,pypinyin
govuk-frontend-jinja,jinja2
govuk-frontend-wtf,flask
govuk-frontend-wtf,jinja2
govuk-frontend-wtf,wtforms
govuk-frontend-wtf,govuk-frontend-jinja
govuk-frontend-wtf,deepmerge
govuk-frontend-wtf,flask-wtf
e-fonenana-frontend,user-agents
KNICS-Jupyter-frontend,pytest-tornasync;
KNICS-Jupyter-frontend,coverage;
KNICS-Jupyter-frontend,pytest;
KNICS-Jupyter-frontend,pytest-cov;
KNICS-Jupyter-frontend,pytest-asyncio;
gdaps-frontend-vue,django-debug-toolbar
gdaps-frontend-vue,semantic-version
gdaps-frontend-vue,pytest
gdaps-frontend-vue,check-manifest
gdaps-frontend-vue,twine
gdaps-frontend-vue,nltk
gdaps-frontend-vue,pytest-cov
gdaps-frontend-vue,gdaps
gdaps-frontend-vue,django-webpack-loader
frontend-for-free,attrs
frontend-for-free,ast-compat
frontend-for-free,wisepy2
hassmart-home-assistant-frontend,user-agents
jupyterhub-singleuser-profiles-frontend,jupyterhub
jupyterhub-singleuser-profiles-frontend,requests
